mp-2468,3.79299173
mp-6892,0.97808894
mp-1608,3.7098945
mp-11536,9.77437778
mp-865329,4.13170807
mp-1132,1.54783851
mp-865067,2.51990045
mp-34910,4.37162112
mp-7971,3.44722438
mp-7024,5.25591814
mp-1909,5.17511005
mp-10131,7.38844176
mp-6860,1.71188172
mp-796,5.522332
mp-775865,2.47568501
mp-2773,5.00340212
mp-775726,3.60065741
mp-675332,-1.70135152
mp-775732,1.68226922
mp-775745,2.26660953
mp-7886,-2.56663198
mp-8037,2.92669909
mp-675514,7.75012843
mp-8414,-3.67940183
mp-643409,2.76250411
mp-367,5.52826484
mp-864940,5.5231576
mp-631361,3.7853427
mp-19574,3.95802274
mp-756317,4.05425053
mp-675142,4.43158931
mp-7580,0.10627688
mp-782692,3.08405143
mp-7831,4.06997057
mp-787,10.34085308
mp-790,6.05781028
mp-768,6.32954351
mp-797,4.27322937
mp-702,5.83585535
mp-851,4.42735844
mp-974951,0.60703884
mp-974038,7.83888948
mp-722912,4.59139669
mp-672340,7.59628063
mp-865587,4.7347276
mp-639787,-0.64302324
mp-775448,2.06628157
mp-971662,3.88258331
mp-971694,2.64823237
mp-756670,4.18803219
mp-769004,2.12040571
mp-769052,3.81896978
mp-984729,1.97067756
mp-982780,0.37921015
mp-865907,2.60766497
mp-974843,1.6693281
mp-7554,6.25651852
mp-13939,4.7260739
mp-672679,4.58485448
mp-844,2.35359444
mp-7531,0.88776041
mp-9705,2.24611724
mp-971632,4.55606165
mp-674514,5.63545406
mp-971669,6.9639862
mp-971682,5.90576782
mp-6968,-1.08040235
mp-11554,6.18445775
mp-636953,8.70225449
mp-8331,2.83143532
mp-600033,-1.96242299
mp-1013709,1.25395153
mp-862752,5.69551449
mp-972370,3.52942603
mp-999054,5.9676653
mp-9191,2.69552175
mp-669542,3.22397475
mp-812,1.2447864
mp-672275,5.6775243
mp-672373,8.911701
mp-760361,-2.21506373
mp-8458,4.38690816
mp-9544,5.22317862
mp-9545,5.19464239
mp-9546,3.85269841
mp-9619,9.11225188
mp-984745,3.15084554
mp-984756,0.92042499
mp-972978,6.37238827
mp-972987,6.26729133
mp-973004,6.69278467
mp-985,4.45137911
mp-973024,7.70196791
mp-973055,2.86489205
mp-973068,5.50029807
mp-9723,2.31421913
mp-510534,5.52612692
mp-1013586,1.75189275
mp-27315,-4.00268038
mp-85,6.89524545
mp-23279,3.81012735
mp-11489,1.36796658
mp-16358,6.67424907
mp-10140,4.48126054
mp-704943,1.57007357
mp-653429,1.85759531
mp-8888,2.7495413
mp-6645,1.42543834
mp-973261,3.8670707
mp-691150,4.75695313
mp-672292,5.59792436
mp-8269,1.84699989
mp-9349,-2.83377305
mp-9392,1.72458268
mp-776814,0.02762312
mp-943,6.15142796
mp-9721,4.07828675
mp-984711,6.9418406
mp-984713,3.47775094
mp-984717,7.27378392
mp-984719,3.49203
mp-984723,5.48229146
mp-980195,6.04127059
mp-8217,-3.13400386
mp-973622,0.19675913
mp-7561,3.8387167
mp-640562,-3.054692
mp-969,4.79637382
mp-974627,1.11943606
mp-21171,5.45443606
mp-977463,5.49438236
mp-862964,3.18321173
mp-864961,6.59234709
mp-867882,4.06753501
mp-867887,4.99671451
mp-1019740,6.38985986
mp-684027,7.51080618
mp-684031,6.86002606
mp-979260,5.13193427
mp-780786,1.56421972
mp-652534,4.07937256
mp-6854,0.1353731
mp-730,7.85081928
mp-7331,0.53217281
mp-9078,5.20115424
mp-6685,4.98985827
mp-738,6.72001734
mp-8182,5.65735251
mp-672235,6.63124949
mp-984082,0.45207515
mp-984356,4.06952378
mp-984454,0.70150164
mp-971700,1.66119681
mp-971703,5.34401473
mp-971704,4.47087744
mp-971706,4.75552356
mp-971720,3.43455369
mp-7555,5.88823652
mp-971733,1.6536039
mp-971753,3.81043882
mp-971758,6.46615557
mp-971761,8.00065761
mp-984700,4.16721565
mp-6686,-2.12138708
mp-7817,6.18109285
mp-672670,3.18219261
mp-1169,5.29730246
mp-1172,5.02743377
mp-13934,4.68607482
mp-989504,-1.18709134
mp-1009731,9.38283155
mp-631498,4.67504192
mp-977393,3.58856676
mp-24724,3.23130458
mp-855,4.19969377
mp-861657,2.79403977
mp-862366,5.45246649
mp-867917,6.7573375
mp-931,7.4805351
mp-933,3.99800199
mp-973053,5.4872567
mp-973056,1.66588085
mp-974452,7.18013723
mp-974708,5.57208177
mp-974782,4.65921817
mp-978542,5.75385072
mp-557806,4.71257058
mp-35005,3.99428501
mp-33300,4.19043514
mp-961646,7.67843667
mp-9200,0.44579271
mp-640089,3.00162748
mp-640315,3.04133535
mp-640551,6.74595255
mp-780229,1.55199446
mp-780239,1.45784334
mp-679,1.25174352
mp-771495,1.43661925
mp-645157,2.63538327
mp-780565,1.82363675
mp-683897,7.84468878
